,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,WMT,-81,39,-83,35049,6237,4357,3603,0,-1,4
1,WB,-3,36,-40,4683,4122,4232,4132,4,2,3
2,GS,30,65,-51,4556,2703,2012,2441,27,16,6
3,KKR,45,55,-17,4403,3516,3159,8649,8,13,22
4,XOM,2,43,-18,4383,30524,17741,18056,13,-2,-3
5,AMZN,59,68,-38,4216,6346,5641,12313,2,-2,-5
6,BA,-51,36,-59,3047,1185,3035,2174,-16,-10,0
7,WU,2,31,-18,3011,3309,1708,835,7,-3,-3
8,DB,-38,31,-57,2386,854,4262,2469,-21,-17,-12
9,TSLA,43,60,-35,2308,34132,22752,18243,29,17,3
10,IMV,-44,18,-44,2223,327,177,97,0,-3,0
11,DWDP,-1,15,-26,2111,355,257,223,-6,-7,-8
12,BCS,13,52,-31,2092,671,1282,2194,12,1,-2
13,GME,30,55,-30,1822,1867,2625,3089,17,13,14
14,PFE,5,40,-37,1787,5809,12983,15053,-3,-23,-4
15,ARVL,9,46,-5,1745,6587,4841,4183,-4,-12,1
16,MA,-11,33,-23,1708,35799,36230,18266,-6,-13,-7
17,BBIG,36,56,-42,1606,892,879,1319,32,26,27
18,MCD,15,49,-35,1563,17206,11780,11049,-6,-13,-5
19,NTDOY,2,48,-50,1545,3870,8129,10992,16,15,12
20,TFII,1,18,-17,1428,6798,3852,3496,17,11,14
21,AMC,23,51,-35,1418,1711,2655,2793,27,26,24
22,ORCL,5,36,-29,1416,1956,4214,3243,11,5,11
23,ADBE,3,35,-29,1316,6383,4693,3325,21,15,13
24,LCID,42,53,-28,1124,614,1021,949,32,25,25
25,DOCU,10,45,-44,1108,327,216,170,14,4,4
26,JPM,-3,37,-32,1092,3035,2935,2825,7,-2,-1
27,NIO,6,41,-33,1058,978,1216,1166,10,5,9
28,GOOGL,27,50,-25,1015,670,833,828,24,10,15
29,BABA,29,48,-30,972,444,468,621,20,16,17
30,RACE,3,41,-37,971,1790,4664,5464,7,14,15
31,SPY,21,48,-41,969,1621,1683,1909,14,9,9
32,HYMC,36,49,-23,957,440,440,440,23,23,23
33,AMD,20,49,-30,953,1103,1690,1609,30,29,26
34,CS,-2,35,-26,924,1139,2200,2364,9,-9,-11
35,CEI,34,50,-29,920,1020,1056,842,30,30,27
36,FNKO,12,36,-29,918,2010,2112,2574,13,8,5
37,BLK,-27,34,-47,915,2261,2303,2216,0,-6,-7
38,PLTR,33,47,-33,894,625,847,1269,26,17,16
39,ATVI,7,37,-37,891,3362,3665,5854,4,-8,-4
40,SHOP,7,45,-38,891,835,977,1281,16,10,11
41,CRON,10,37,-24,834,1076,1257,1306,25,17,17
42,MRNA,-5,33,-35,833,1290,2152,9491,2,-8,-5
43,NKLA,45,53,-24,824,464,428,741,9,6,7
44,RMBL,25,44,0,820,119,66,39,17,9,7
45,QCOM,18,43,-23,815,999,1300,1379,19,16,15
46,COST,9,38,-36,788,943,1286,1548,5,5,5
47,CRM,1,30,-22,787,1063,982,896,-8,1,4
48,ENSV,25,38,-19,782,439,239,149,28,21,17
49,STMP,-29,30,-47,765,2436,2015,3262,-14,-13,-10
